	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PNPLA2	0.144450894214554	0.0563164829961587	0.205	0.136	1
PEF1	0.127721280230706	0.0562856927192339	0.285	0.197	1
YLPM1	0.111445538086924	0.0562197013448656	0.185	0.114	1
MED19	0.119444526012985	0.0561956794953656	0.172	0.106	1
NCOR1	0.241525875743551	0.0561242033145127	0.358	0.28	1
FAM199X	0.0654534113915542	0.0561031873683561	0.093	0.038	1
SLC35E3	0.0654534113915542	0.0561031873683561	0.093	0.038	1
CBFA2T2	0.0654534113915542	0.0561031873683561	0.093	0.038	1
SMC6	0.138449375381143	0.0560980951620875	0.245	0.167	1
PGF	0.24210336062681	0.0560660636556362	0.232	0.174	1
BCL9	0.0210643006909468	0.055995643682889	0.073	0.015	1
KCTD18	0.0210643006909468	0.055995643682889	0.073	0.015	1
IDUA	0.0210643006909468	0.055995643682889	0.073	0.015	1
AC097376.2	0.0210643006909468	0.055995643682889	0.073	0.015	1
ENPP1	0.0210643006909468	0.055995643682889	0.073	0.015	1
TMSB15B	0.0210643006909468	0.055995643682889	0.073	0.015	1
LRP5	0.0210643006909468	0.055995643682889	0.073	0.015	1
ORAOV1	0.0210643006909468	0.055995643682889	0.073	0.015	1
MAP3K12	0.0210643006909468	0.055995643682889	0.073	0.015	1
CDADC1	0.0210643006909468	0.055995643682889	0.073	0.015	1
ZBTB40	0.033562957300217	0.055995643682889	0.066	0.015	1
LFNG	0.033562957300217	0.055995643682889	0.066	0.015	1
NFATC4	0.121951343335117	0.0559788830719901	0.152	0.091	1
CREBL2	0.0490229252373972	0.0559016230667195	0.146	0.068	1
PDS5A	0.0762166502578496	0.0559016230667195	0.146	0.076	1
MTUS1	0.100658124216963	0.0559016230667195	0.139	0.076	1
MSH3	0.08082842107848	0.0558735441825535	0.132	0.068	1
PLEKHA1	0.08082842107848	0.0558735441825535	0.132	0.068	1
EPRS	0.208953724778573	0.0557743423852979	0.245	0.182	1
NOC4L	0.00746648564611743	0.0557623857445338	0.053	0	1
CTXN1	0.00746648564611743	0.0557623857445338	0.053	0	1
PVR	0.00746648564611743	0.0557623857445338	0.053	0	1
GRIK2	0.00746648564611743	0.0557623857445338	0.053	0	1
PCOLCE2	0.0125045760933859	0.0557623857445338	0.046	0	1
BCL9L	0.123425610051012	0.0557577391740242	0.132	0.076	1
AURKAIP1	0.180121900901832	0.0557490671714045	0.417	0.318	1
THAP12	0.0761192388906273	0.0556479691930266	0.113	0.053	1
CYP27A1	0.105445436004955	0.0556479691930266	0.106	0.053	1
DNAJA2	0.143768705940379	0.0555484570471556	0.252	0.174	1
ELP5	0.123115064662485	0.0555419863879893	0.172	0.106	1
SLC36A1	0.0343129399113989	0.055534813290679	0.093	0.03	1
AGK	0.0343129399113989	0.055534813290679	0.093	0.03	1
WRN	0.0343129399113989	0.055534813290679	0.093	0.03	1
FOXN3	0.144153732860829	0.0554938420948622	0.199	0.129	1
MESD	0.168728241565543	0.0554728978369683	0.265	0.189	1
LIMS1	0.258345456289274	0.0554367959284909	0.477	0.379	1
STX17	0.0861666383406722	0.0554314893951788	0.152	0.083	1
UNC50	0.136890796733262	0.0552851239504774	0.139	0.083	1
PPIP5K2	0.136890796733262	0.0552851239504774	0.139	0.083	1
GPATCH2L	0.136890796733262	0.0552851239504774	0.139	0.083	1
GNPDA1	0.0836202464239861	0.0552043445347465	0.132	0.068	1
CIAPIN1	0.0836202464239861	0.0552043445347465	0.132	0.068	1
HSD3B2	0.0210149290667872	0.0551690237069939	0.04	0	1
MFAP5	0.0606072172978496	0.0551690237069939	0.026	0	1
CDKN2AIP	0.0894863268384924	0.0551684008321859	0.119	0.061	1
CRNKL1	0.0894863268384924	0.0551684008321859	0.119	0.061	1
SNX7	0.122472168722173	0.0551684008321859	0.113	0.061	1
HSPA1A	0.0317430698503567	0.0551342306163848	0.523	0.333	1
PRDM2	0.123983893641334	0.0551158115486853	0.192	0.121	1
VAPB	0.0959417111817993	0.055080256528824	0.179	0.106	1
KAT8	0.0907435825199291	0.0550551552271099	0.119	0.061	1
SPATA6	0.0836262908129629	0.0549337121597993	0.099	0.045	1
PRKCI	0.0836262908129629	0.0549337121597993	0.099	0.045	1
DPY19L4	0.0836262908129629	0.0549337121597993	0.099	0.045	1
TRAPPC2B	0.0836262908129629	0.0549337121597993	0.099	0.045	1
ADCY5	0.0836262908129629	0.0549337121597993	0.099	0.045	1
MED14	0.0836262908129629	0.054933712159799	0.099	0.045	1
ISY1	0.137112540533703	0.054853415616611	0.159	0.098	1
ATXN2	0.137112540533703	0.054853415616611	0.159	0.098	1
TMEM192	0.035837809127854	0.0548493561247512	0.093	0.03	1
HUWE1	0.25961581604573	0.0548272935319561	0.245	0.189	1
NLGN2	0.0139159951849997	0.0548084914608173	0.079	0.015	1
STK40	0.0340148265057378	0.0548084914608173	0.079	0.023	1
MPP6	0.0340148265057378	0.0548084914608173	0.079	0.023	1
AC027031.2	0.0340148265057378	0.0548084914608173	0.079	0.023	1
CSTF3	0.0340148265057378	0.0548084914608173	0.079	0.023	1
RPUSD4	0.0340148265057378	0.0548084914608173	0.079	0.023	1
BTRC	0.0340148265057378	0.0548084914608173	0.079	0.023	1
ZNF75A	0.0340148265057378	0.0548084914608173	0.079	0.023	1
ZNF286A	0.0340148265057378	0.0548084914608173	0.079	0.023	1
FN3K	0.0340148265057378	0.0548084914608173	0.079	0.023	1
ZNF69	0.0340148265057378	0.0548084914608173	0.079	0.023	1
SLU7	0.187175778829356	0.0547447676364923	0.159	0.106	1
ARHGEF40	0.187175778829356	0.0547447676364923	0.159	0.106	1
ADCY6	0.0725182874062714	0.0546941560197778	0.079	0.03	1
G3BP1	0.197109887481832	0.054684030630878	0.305	0.227	1
SHC1	0.191200861403928	0.0546699325048127	0.391	0.295	1
RPL22L1	0.133385298441936	0.0546128692593015	0.404	0.28	1
CLPP	0.167713888260414	0.0546093298409085	0.298	0.212	1
AP2S1	0.456999121824639	0.0545648851768153	0.543	0.492	1
ZNF692	0.018245705765134	0.0545638512807336	0.06	0.008	1
USF3	0.018245705765134	0.0545638512807336	0.06	0.008	1
ENPP6	0.018245705765134	0.0545638512807336	0.06	0.008	1
ZKSCAN5	0.018245705765134	0.0545638512807336	0.06	0.008	1
AGAP3	0.018245705765134	0.0545638512807336	0.06	0.008	1
NAP1L3	0.018245705765134	0.0545638512807336	0.06	0.008	1
AC023043.1	0.018245705765134	0.0545638512807336	0.06	0.008	1
RPUSD3	0.0923736963188967	0.054495614750224	0.119	0.061	1
RPAP3	0.125475492735627	0.054495614750224	0.113	0.061	1
PLOD2	0.112344704468508	0.0544573416424888	0.265	0.174	1
RIF1	0.250249605891635	0.0543894718932122	0.212	0.159	1
UBP1	0.142775612529932	0.0543860123012402	0.119	0.068	1
BOLA1	0.0474162018198641	0.0543653014276342	0.099	0.038	1
RBSN	0.0474162018198641	0.0543653014276342	0.099	0.038	1
FGFR1OP	0.0474162018198641	0.0543653014276342	0.099	0.038	1
ZRANB1	0.0474162018198641	0.0543653014276342	0.099	0.038	1
EIF3J-DT	0.0474162018198641	0.0543653014276342	0.099	0.038	1
PARN	0.0474162018198641	0.0543653014276342	0.099	0.038	1
TFAM	0.106741517282162	0.0543355771904493	0.225	0.144	1
TP53BP1	0.0941362971351462	0.0543270876089657	0.179	0.106	1
GALNT2	0.182171161358221	0.0543270876089657	0.179	0.121	1
TMEM11	0.0993864464251984	0.0543059898086664	0.159	0.091	1
DAPK3	0.0893518075015564	0.0542940864074469	0.225	0.136	1
CRYBG3	0.0749447413142069	0.0542830784061533	0.166	0.091	1
TSTD1	0.0926254749015953	0.0542605939704874	0.152	0.083	1
FAM98A	0.130640405732569	0.0542448191453019	0.172	0.106	1
INF2	0.153996975310905	0.0541537260075477	0.146	0.091	1
TESK1	0.035496254562269	0.0541192767681033	0.079	0.023	1
PITPNA	0.035496254562269	0.0541192767681033	0.079	0.023	1
LINC02001	0.035496254562269	0.0541192767681033	0.079	0.023	1
ATP5MG	0.0987091446209985	0.0540746927299482	0.874	0.894	1
TMEM218	0.106093878246071	0.0540204699303538	0.126	0.068	1
RFNG	0.106093878246071	0.0540204699303538	0.126	0.068	1
MORC3	0.106093878246071	0.0540204699303538	0.126	0.068	1
FAIM	0.0559406961665637	0.0539828128269246	0.132	0.061	1
PPIH	0.0972777404756519	0.0539387654812803	0.192	0.114	1
DCPS	0.0576820868055669	0.0539335172048447	0.119	0.053	1
MPPE1	0.0576820868055669	0.0539335172048447	0.119	0.053	1
HBP1	0.19286452120877	0.0538718381355256	0.185	0.129	1
PLN	0.130739477678648	0.0538618507909357	0.046	0.015	1
NBL1	0.0703618556274504	0.0538312626577236	0.457	0.303	1
REV3L	0.160280516637951	0.0538074440978914	0.126	0.076	1
HDDC2	0.130086174947265	0.0537934352604408	0.331	0.235	1
RNPS1	0.191503315873391	0.0537508431808204	0.338	0.25	1
ZNF451	0.15250786783601	0.0537380613633947	0.166	0.106	1
BBIP1	0.15250786783601	0.0537380613633947	0.166	0.106	1
BABAM1	0.15250786783601	0.0537380613633947	0.166	0.106	1
TPGS2	0.227668891529766	0.0537167536395352	0.318	0.242	1
OXLD1	0.0968184286479426	0.053703250092298	0.172	0.098	1
ACTR1A	0.243077348090214	0.0536538268314984	0.232	0.174	1
SLC27A3	0.0493957328644686	0.0536325878542364	0.086	0.03	1
UBE2Q1	0.0493957328644686	0.0536325878542364	0.086	0.03	1
RRP9	0.0493957328644686	0.0536325878542364	0.086	0.03	1
LIAS	0.0493957328644686	0.0536325878542364	0.086	0.03	1
NAA15	0.0493957328644686	0.0536325878542364	0.086	0.03	1
EXOC3	0.0493957328644686	0.0536325878542364	0.086	0.03	1
ABCB8	0.0493957328644686	0.0536325878542364	0.086	0.03	1
NIPAL2	0.0493957328644686	0.0536325878542364	0.086	0.03	1
BRD3OS	0.0493957328644686	0.0536325878542364	0.086	0.03	1
TMEM80	0.0493957328644686	0.0536325878542364	0.086	0.03	1
SAMD8	0.0493957328644686	0.0536325878542364	0.086	0.03	1
CAPRIN2	0.0493957328644686	0.0536325878542364	0.086	0.03	1
VASH1	0.0493957328644686	0.0536325878542364	0.086	0.03	1
SLC27A5	0.0493957328644686	0.0536325878542364	0.086	0.03	1
RAB5B	0.161615530487149	0.0535817250179403	0.285	0.205	1
TNFSF13B	0.0821693768622565	0.0535362168097664	0.066	0.023	1
ZNF830	0.0948793859325795	0.0535247644530231	0.086	0.038	1
AC091959.3	0.0948793859325795	0.0535247644530231	0.086	0.038	1
MLXIP	0.136686229160825	0.0535218321368177	0.219	0.144	1
ILF2	0.261687579080492	0.0534996330277819	0.411	0.326	1
NDUFA9	0.157941294398545	0.0534966602856548	0.146	0.091	1
GEMIN7	0.0370218731136299	0.0534338790284876	0.079	0.023	1
TXLNA	0.216057806369859	0.0533940307253323	0.146	0.098	1
DTD1	0.216057806369859	0.0533940307253323	0.146	0.098	1
TRIM23	0.033562957300217	0.0533767922447866	0.066	0.015	1
TBC1D8B	0.033562957300217	0.0533767922447866	0.066	0.015	1
TMEM8B	0.033562957300217	0.0533767922447866	0.066	0.015	1
RALGDS	0.033562957300217	0.0533767922447866	0.066	0.015	1
DTNA	0.033562957300217	0.0533767922447866	0.066	0.015	1
KIF7	0.033562957300217	0.0533767922447866	0.066	0.015	1
GPAA1	0.195607930392892	0.05336463783752	0.252	0.182	1
SAMD11	0.10929975238856	0.0533538752535181	0.126	0.068	1
TMEM203	0.10929975238856	0.0533538752535181	0.126	0.068	1
CHD8	0.10929975238856	0.0533538752535181	0.126	0.068	1
KDM6B	0.10929975238856	0.0533538752535181	0.126	0.068	1
MYOCD	0.0790236233273851	0.0532691572566622	0.066	0.023	1
DPYD	0.0599269537591635	0.0532643591496543	0.119	0.053	1
WNT2B	0.147212589608191	0.053250414087771	0.119	0.068	1
FSTL3	0.147212589608191	0.053250414087771	0.119	0.068	1
PTDSS1	0.151041736408112	0.0532330337153703	0.185	0.121	1
SNRPN	0.127432918590897	0.053223907299815	0.325	0.22	1
SLC30A7	0.0620257326125979	0.0532067271105891	0.106	0.045	1
ZC3H11A	0.0620257326125979	0.0532067271105891	0.106	0.045	1
PMS2	0.0620257326125979	0.0532067271105891	0.106	0.045	1
ODF2	0.0620257326125979	0.0532067271105891	0.106	0.045	1
RNF5	0.255872354058916	0.0531217363063609	0.245	0.189	1
ITIH3	0.0125044150038602	0.0531155769857394	0.046	0	1
BTNL9	0.0125044150038602	0.0531155769857394	0.046	0	1
PCDHB16	0.0125044150038602	0.0531155769857394	0.046	0	1
DPY19L2	0.108776722738993	0.0530505763852319	0.073	0.03	1
VPS26A	0.171228937069342	0.0530325760556035	0.152	0.098	1
STX10	0.225877205281789	0.0529831106492629	0.225	0.167	1
TXNDC15	0.233440867889287	0.052975902354717	0.285	0.22	1
KIRREL1	0.169357482229505	0.0529544575206025	0.232	0.159	1
PRKAB2	0.0242984817545487	0.0529498790421648	0.086	0.023	1
SLC35A5	0.0513130747002282	0.0529498790421648	0.086	0.03	1
LPAR1	0.0513130747002282	0.0529498790421648	0.086	0.03	1
C15orf39	0.0513130747002282	0.0529498790421648	0.086	0.03	1
P2RY14	0.370700269771236	0.0529456883154986	0.06	0.038	1
HYAL2	0.113594768997898	0.0529432326519275	0.146	0.083	1
COA4	0.108847183007448	0.0528990729867109	0.331	0.22	1
TM9SF3	0.22905163012696	0.0528937590653799	0.272	0.205	1
ACOT9	0.123213581561382	0.0528830929039917	0.132	0.076	1
PLEKHH3	0.123213581561382	0.0528830929039917	0.132	0.076	1
TM9SF4	0.162915160103713	0.0528830929039917	0.126	0.076	1
RBM7	0.068179995609823	0.0528531485554267	0.139	0.068	1
B3GAT3	0.200935317517935	0.0528381682786919	0.258	0.189	1
LAMB2	0.0997768332827858	0.052766522438218	0.47	0.326	1
MARCH6	0.274819142906458	0.0527438860815077	0.139	0.098	1
CYTH2	0.155269992867612	0.0526938309718826	0.185	0.121	1
ORC4	0.122472168722173	0.0526273460917824	0.113	0.061	1
POLR2J3	0.122472168722173	0.0526273460917824	0.113	0.061	1
NUP98	0.122472168722173	0.0526273460917824	0.113	0.061	1
DCP2	0.0783120336361286	0.05260515956601	0.179	0.098	1
DCXR	0.17020792455332	0.0525706341345874	0.185	0.121	1
WDR45B	0.158667440196806	0.0524897129716081	0.212	0.144	1
BCAR1	0.125603782219507	0.0524791530433533	0.152	0.091	1
SIPA1L2	0.0666579697226175	0.0524677733560007	0.093	0.038	1
CEP68	0.0666579697226175	0.0524677733560007	0.093	0.038	1
PRIMPOL	0.0666579697226175	0.0524677733560007	0.093	0.038	1
RRP36	0.0666579697226175	0.0524677733560007	0.093	0.038	1
POM121	0.0666579697226175	0.0524677733560007	0.093	0.038	1
CHPF2	0.0666579697226175	0.0524677733560007	0.093	0.038	1
TMEM135	0.0666579697226175	0.0524677733560007	0.093	0.038	1
COG4	0.0666579697226175	0.0524677733560007	0.093	0.038	1
SLC35B1	0.0666579697226175	0.0524677733560007	0.093	0.038	1
SMAD1	0.0965611202580511	0.0524677733560007	0.086	0.038	1
CDK8	0.0965611202580511	0.0524677733560007	0.086	0.038	1
CALCOCO1	0.160718051075484	0.0524458351655815	0.166	0.106	1
TSPAN2	0.224112490237846	0.0523337166739399	0.099	0.061	1
NRGN	0.0532788681943569	0.0522709332094181	0.086	0.03	1
TOR1A	0.126717732195059	0.0522226043528656	0.132	0.076	1
ASCC2	0.126717732195059	0.0522226043528656	0.132	0.076	1
TMEM167B	0.166430151341384	0.0522226043528656	0.126	0.076	1
HMGCR	0.0523773956322577	0.0522010442177145	0.073	0.023	1
SCAI	0.0523773956322577	0.0522010442177145	0.073	0.023	1
TKFC	0.0523773956322577	0.0522010442177145	0.073	0.023	1
CHST15	0.0523773956322577	0.0522010442177145	0.073	0.023	1
BHLHE41	0.0523773956322577	0.0522010442177145	0.073	0.023	1
HECTD4	0.0523773956322577	0.0522010442177145	0.073	0.023	1
NAA16	0.0523773956322577	0.0522010442177145	0.073	0.023	1
TCN2	0.0523773956322577	0.0522010442177145	0.073	0.023	1
RNF150	0.0523773956322577	0.0522010442177145	0.073	0.023	1
PINX1.1	0.0800411239475913	0.0522010442177145	0.066	0.023	1
PHB	0.227636109221154	0.0521923322216717	0.377	0.295	1
LSM8	0.194590020104622	0.0521680742462556	0.318	0.235	1
SRP54	0.148513375506799	0.0521522712730016	0.179	0.114	1
TBC1D16	0.0778404693325459	0.0520589372495857	0.113	0.053	1
LINC00882	0.00746380635417666	0.0520305157189518	0.053	0	1
AC027644.3	0.00746380635417666	0.0520305157189518	0.053	0	1
HAS2-AS1	0.00746380635417666	0.0520305157189518	0.053	0	1
TMC3-AS1	0.00746380635417666	0.0520305157189518	0.053	0	1
SIGLEC11	0.00746380635417666	0.0520305157189518	0.053	0	1
ZNF582-AS1	0.00746380635417666	0.0520305157189518	0.053	0	1
EMX2OS	0.00746380635417666	0.0520305157189518	0.053	0	1
MGARP	0.00746380635417666	0.0520305157189518	0.053	0	1
DNM1L	0.17237741487552	0.051990651810009	0.172	0.114	1
ITGB3BP	0.125840490047508	0.051960852427255	0.113	0.061	1
MYO1D	0.137442298490503	0.0519215351518217	0.159	0.098	1
SYNE1	0.146420288687527	0.0519058027913867	0.238	0.159	1
PEX2	0.129276642766684	0.051828030465737	0.152	0.091	1
CTNNBL1	0.129276642766684	0.051828030465737	0.152	0.091	1
NRIP1	0.129276642766684	0.051828030465737	0.152	0.091	1
PTCH1	0.183597396678914	0.0518132631509125	0.212	0.144	1
UBE2K	0.164903935925938	0.0518047761772945	0.166	0.106	1
MAP3K5	0.0359903437450674	0.0517914785182243	0.093	0.03	1
ARCN1	0.202978002049006	0.0517846361708403	0.272	0.197	1
ATP5PB	0.158289775620969	0.0517455919604399	0.503	0.356	1
FBN2	0.035055176924014	0.0516917013729881	0.106	0.038	1
EBNA1BP2	0.158694763679411	0.0516802000504439	0.205	0.136	1
MNAT1	0.0858191891223653	0.0516605260472105	0.132	0.068	1
CCDC50	0.154847031100822	0.0516501252271523	0.252	0.174	1
LMCD1	0.179426200453055	0.0516171268243514	0.344	0.25	1
ARAP3	0.0223382854297494	0.0516168188400275	0.073	0.015	1
CDC42BPB	0.217586387011424	0.0515186570104445	0.192	0.136	1
UBA5	0.142593822417954	0.0514901532821603	0.119	0.068	1
UBE2W	0.142593822417954	0.0514901532821603	0.119	0.068	1
GPR176	0.142593822417954	0.0514901532821603	0.119	0.068	1
PEPD	0.237320770635252	0.0514457847259678	0.179	0.129	1
MAP2K2	0.169432169695672	0.0514358798129315	0.331	0.242	1
RPS6KC1	0.0853172284408915	0.0513138914677037	0.099	0.045	1
PLEKHH2	0.0853172284408915	0.0513138914677037	0.099	0.045	1
ANKRD36C	0.0853172284408915	0.0513138914677037	0.099	0.045	1
SENP2	0.0853172284408915	0.0513138914677037	0.099	0.045	1
BOP1	0.0853172284408915	0.0513138914677037	0.099	0.045	1
RPP25L	0.0853172284408915	0.0513138914677037	0.099	0.045	1
ZER1	0.0853172284408915	0.0513138914677037	0.099	0.045	1
VEGFB	0.0853172284408915	0.0513138914677037	0.099	0.045	1
TMEM220	0.0853172284408915	0.0513138914677037	0.099	0.045	1
ABCC5	0.12044078456059	0.0513138914677037	0.093	0.045	1
CDC123	0.167785422412888	0.0512373960531758	0.212	0.144	1
NOP10	0.295698930873178	0.0512316611452656	0.543	0.424	1
INSIG2	0.141874984394194	0.0512187429837915	0.099	0.053	1
PTPRG	0.315643033831437	0.0511544291154398	0.219	0.174	1
BRD2	0.193728932845539	0.0511464784066677	0.404	0.295	1
FJX1	0.0517158222524338	0.0511245473041273	0.099	0.038	1
PRRT2	0.217017916363618	0.0511245473041273	0.099	0.061	1
IGF1R	0.14448068284082	0.0511016583826161	0.139	0.083	1
YTHDF3	0.14448068284082	0.0511016583826158	0.139	0.083	1
SMO	0.0736588949770257	0.0510364459140734	0.079	0.03	1
USP28	0.0736588949770257	0.0510364459140734	0.079	0.03	1
ATP6V0A2	0.0736588949770257	0.0510364459140734	0.079	0.03	1
PTPN21	0.0736588949770257	0.0510364459140734	0.079	0.03	1
AC011043.1	0.0736588949770257	0.0510364459140734	0.079	0.03	1
ITPRIPL2	0.19365105288424	0.0509962782277001	0.185	0.129	1
ERG28	0.141594357680154	0.0509897615501062	0.179	0.114	1
IMP4	0.132712440526542	0.0509794974333476	0.192	0.121	1
COQ8A	0.0234372169624821	0.0509342548631403	0.073	0.015	1
PTPRN2	0.0945964519088634	0.0509217816051585	0.119	0.061	1
OXR1	0.188267900379038	0.0509008154430468	0.179	0.121	1
ASAP3	0.0183511973053695	0.0508484111375372	0.06	0.008	1
ST3GAL3	0.0183511973053695	0.0508484111375372	0.06	0.008	1
EPHB3	0.0183511973053695	0.0508484111375372	0.06	0.008	1
POT1	0.0183511973053695	0.0508484111375372	0.06	0.008	1
FAM219A	0.0183511973053695	0.0508484111375372	0.06	0.008	1
ALKBH3	0.0183511973053695	0.0508484111375372	0.06	0.008	1
ALDH1L2	0.0183511973053695	0.0508484111375372	0.06	0.008	1
SERP2	0.0183511973053695	0.0508484111375372	0.06	0.008	1
CAB39L	0.0183511973053695	0.0508484111375372	0.06	0.008	1
MEG8	0.0183511973053695	0.0508484111375372	0.06	0.008	1
TXNL4B	0.0183511973053695	0.0508484111375372	0.06	0.008	1
LYRM9	0.0183511973053695	0.0508484111375372	0.06	0.008	1
FUZ	0.0183511973053695	0.0508484111375372	0.06	0.008	1
RAMMET	0.146261241070593	0.0508297980189003	0.119	0.068	1
NUPL2	0.0480129107489569	0.0508214665025808	0.113	0.045	1
CREBBP	0.13491141657145	0.0508045798179085	0.172	0.106	1
SRRM1	0.256915856282927	0.0507985206471173	0.437	0.341	1
SLCO3A1	0.165903230567198	0.050789039273399	0.232	0.159	1
SPCS2	0.199190020263294	0.0507664982568798	0.364	0.273	1
RGS9	0.0532430761451369	0.0507531782914821	0.06	0.015	1
REM1	0.193374899011895	0.0507320746837685	0.132	0.083	1
ZRSR2	0.0880518487571309	0.0506439204249359	0.099	0.045	1
FAM217B	0.0880518487571309	0.0506439204249359	0.099	0.045	1
VPS45	0.0880518487571309	0.0506439204249356	0.099	0.045	1
CHD4	0.292015481149189	0.0506098979175616	0.325	0.265	1
SLC35C2	0.217682545697188	0.0505503532692681	0.146	0.098	1
NEK1	0.133008261112083	0.0505396243745322	0.132	0.076	1
DCUN1D5	0.101043388374573	0.0505396243745319	0.139	0.076	1
SLC39A1	0.187905967395254	0.0505285131404118	0.305	0.227	1
DPH5	0.0359767447044957	0.0504522695787624	0.079	0.023	1
NKIRAS1	0.0359767447044957	0.0504522695787624	0.079	0.023	1
UBE2Z	0.148314173172802	0.0504506769265939	0.139	0.083	1
DAG1	0.10122787777092	0.0504379974215877	0.192	0.114	1
CAT	0.167751968576355	0.0504360937321432	0.205	0.136	1
TDG	0.198664078389732	0.0503655293131886	0.185	0.129	1
PYCR2	0.162915160103713	0.0503634239749563	0.126	0.076	1
NIPSNAP3A	0.162915160103713	0.0503634239749563	0.126	0.076	1
SP3	0.17280449105968	0.0503521113258424	0.106	0.061	1
EGR3	0.0496859637203284	0.050256134933651	0.046	0.008	1
ERGIC2	0.237946059801101	0.050186255157543	0.278	0.212	1
MYO1C	0.212690384740382	0.0501841999079983	0.331	0.25	1
C1orf131	0.104972720990176	0.0501707886289029	0.106	0.053	1
LRCH3	0.104972720990176	0.0501707886289029	0.106	0.053	1
CCDC127	0.104972720990176	0.0501707886289029	0.106	0.053	1
PRMT5	0.104972720990176	0.0501707886289029	0.106	0.053	1
KDM4B	0.104972720990176	0.0501707886289029	0.106	0.053	1
HSPA13	0.144827604484224	0.0501707886289029	0.099	0.053	1
COMMD2	0.225639892927637	0.0500944134140691	0.219	0.159	1
KDM3B	0.165731721772504	0.0500818078302203	0.106	0.061	1
TOP2B	0.149278478686934	0.0500810121427273	0.159	0.098	1
SUFU	0.0502602377579563	0.0500664403731102	0.099	0.038	1
PTPRA	0.153092759756827	0.0500139283435741	0.272	0.189	1
DNAJC19	0.263552081828828	0.0499512724635239	0.371	0.295	1
TMEM123	0.170929383733094	0.0499146886572139	0.252	0.174	1
MRPL43	0.251654021046909	0.0498923753820633	0.483	0.371	1
NADK	0.0965611202580511	0.0498828391074866	0.086	0.038	1
ZMYM1	0.0965611202580511	0.0498828391074866	0.086	0.038	1
HACD2	0.0965611202580511	0.0498828391074866	0.086	0.038	1
CYP2U1	0.0965611202580511	0.0498828391074866	0.086	0.038	1
CPLANE1	0.0965611202580511	0.0498828391074866	0.086	0.038	1
TMEM254	0.0965611202580511	0.0498828391074866	0.086	0.038	1
AKTIP	0.0965611202580511	0.0498828391074866	0.086	0.038	1
ASS1	0.138346840892341	0.0498828391074866	0.079	0.038	1
COPS4	0.112069623944736	0.0497951127221442	0.126	0.068	1
TMEM199	0.112069623944736	0.0497951127221442	0.126	0.068	1
SNU13	0.296893697993388	0.0497256927173436	0.53	0.424	1
EXOC5	0.149842385985997	0.0497204542146345	0.179	0.114	1
NDUFC2	0.203452237836489	0.0496883177043084	0.285	0.212	1
GXYLT2	0.0118037026093419	0.0496776379500464	0.066	0.008	1
KLHL21	0.0338995601533694	0.0496776379500464	0.066	0.015	1
LINC00467	0.0338995601533694	0.0496776379500464	0.066	0.015	1
SH3BP4	0.0338995601533694	0.0496776379500464	0.066	0.015	1
MDC1	0.0338995601533694	0.0496776379500464	0.066	0.015	1
PAQR8	0.0338995601533694	0.0496776379500464	0.066	0.015	1
RIDA	0.0338995601533694	0.0496776379500464	0.066	0.015	1
DNAJC25	0.0338995601533694	0.0496776379500464	0.066	0.015	1
MED17	0.0338995601533694	0.0496776379500464	0.066	0.015	1
WDR37	0.0338995601533694	0.0496776379500464	0.066	0.015	1
ZNF140	0.0338995601533694	0.0496776379500464	0.066	0.015	1
TXNDC16	0.0338995601533694	0.0496776379500464	0.066	0.015	1
NOL4L	0.0338995601533694	0.0496776379500464	0.066	0.015	1
ZNF738	0.0338995601533694	0.0496776379500464	0.066	0.015	1
TAB1	0.0338995601533694	0.0496776379500464	0.066	0.015	1
COMMD4	0.234717049257553	0.0496591966977742	0.225	0.167	1
SVEP1	0.178263411947795	0.0496046954461104	0.106	0.061	1
MAGI3	0.0800408201977178	0.0495888758847194	0.066	0.023	1
CREB5	0.0800408201977178	0.0495888758847194	0.066	0.023	1
KBTBD4	0.0800408201977178	0.0495888758847194	0.066	0.023	1
GTF2A2	0.316736286705974	0.0495786398603238	0.424	0.348	1
WDR61	0.186347360075705	0.0495610180991524	0.219	0.152	1
TBCK	0.108074643282118	0.0495070528884471	0.106	0.053	1
BAG4	0.108074643282118	0.0495070528884471	0.106	0.053	1
SPRY1	0.152140021094661	0.0494408500706692	0.444	0.318	1
ARIH1	0.116845162822163	0.0494289288673389	0.146	0.083	1
L1TD1	0.0125021598506549	0.0493768451952356	0.046	0	1
EFNA1	0.0125021598506549	0.0493768451952356	0.046	0	1
RBMS3-AS3	0.0125021598506549	0.0493768451952356	0.046	0	1
CSTA	0.0125021598506549	0.0493768451952356	0.046	0	1
RASL11B	0.0125021598506549	0.0493768451952356	0.046	0	1
EPHB6	0.0125021598506549	0.0493768451952356	0.046	0	1
EDA	0.0125021598506549	0.0493768451952356	0.046	0	1
ZNF85	0.0125021598506549	0.0493768451952356	0.046	0	1
SHOX2	0.0125021598506549	0.0493768451952356	0.046	0	1
AC002398.2	0.0125021598506549	0.0493768451952356	0.046	0	1
AFAP1-AS1	0.0125021598506549	0.0493768451952356	0.046	0	1
DCAF8L2	0.0125021598506549	0.0493768451952356	0.046	0	1
PPP1R1A	0.0210135639025201	0.0493768451952356	0.04	0	1
C1QTNF3	0.0606064020918376	0.0493768451952356	0.026	0	1
MDP1	0.166559615672423	0.0493458076794017	0.146	0.091	1
