	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
PRKAR1A	2.7963854767268e-05	0.281991876041572	0.629	0.412	0.494652626978204	Muscle like fibroblasts	PRKAR1A
SERPINB6	2.82863432066223e-05	0.268173295223219	0.506	0.273	0.500357124981942	Muscle like fibroblasts	SERPINB6
MARCKSL1	2.91424926492172e-05	0.364633989242811	0.607	0.387	0.515501552472003	Muscle like fibroblasts	MARCKSL1
ZEB2	3.45537073064165e-05	0.267072061820587	0.607	0.371	0.611220528543201	Muscle like fibroblasts	ZEB2
RBP1	3.66821968930758e-05	0.266528652113349	0.427	0.196	0.648871380841618	Muscle like fibroblasts	RBP1
MGP	4.22497704392523e-05	0.374854149015655	0.831	0.505	0.747356189299935	Muscle like fibroblasts	MGP
GADD45GIP1	4.70926370256973e-05	0.260556135092163	0.573	0.381	0.83302165634756	Muscle like fibroblasts	GADD45GIP1
CCDC3	4.8460342533509e-05	0.291699325736911	0.506	0.258	0.857214999075241	Muscle like fibroblasts	CCDC3
NREP	5.08713818528183e-05	0.254216506969639	0.461	0.247	0.899863873594502	Muscle like fibroblasts	NREP
RAC1	5.95152425076305e-05	0.255065239545693	0.831	0.639	1	Muscle like fibroblasts	RAC1
SLC25A5	5.99688223465828e-05	0.265502441166452	0.764	0.505	1	Muscle like fibroblasts	SLC25A5
COL5A2	6.06038667115501e-05	0.327145407321698	0.697	0.454	1	Muscle like fibroblasts	COL5A2
TNS3	6.07526843846939e-05	0.268155356373553	0.427	0.216	1	Muscle like fibroblasts	TNS3
TUBA1B	6.76912533629376e-05	0.301159577634131	0.798	0.557	1	Muscle like fibroblasts	TUBA1B
HLA-B	6.83337331932133e-05	0.30456363530231	0.899	0.809	1	Muscle like fibroblasts	HLA-B
PXDN	7.30647067341003e-05	0.275113337198301	0.629	0.381	1	Muscle like fibroblasts	PXDN
MSN	7.48963372373112e-05	0.261570496188674	0.528	0.32	1	Muscle like fibroblasts	MSN
GNAS	7.71195455235834e-05	0.258214039716642	0.685	0.495	1	Muscle like fibroblasts	GNAS
P4HB	8.99310346235026e-05	0.274885725695643	0.719	0.5	1	Muscle like fibroblasts	P4HB
POMP	9.27868097281316e-05	0.258039237827755	0.607	0.433	1	Muscle like fibroblasts	POMP
ADAMTS1	0.000100941210114793	0.279941805134181	0.382	0.18	1	Muscle like fibroblasts	ADAMTS1
MYH11	0.000152381105880244	0.336868627288427	0.348	0.16	1	Muscle like fibroblasts	MYH11
CAVIN1	0.00016172588500275	0.293993823906435	0.742	0.505	1	Muscle like fibroblasts	CAVIN1
ACTN1	0.00018125085225971	0.289480005209191	0.607	0.387	1	Muscle like fibroblasts	ACTN1
DKK3	0.000183903532221352	0.30378690842127	0.629	0.469	1	Muscle like fibroblasts	DKK3
BST2	0.000184302490770065	0.268094935855839	0.674	0.474	1	Muscle like fibroblasts	BST2
FXYD6	0.000206339113928556	0.259740724347223	0.562	0.376	1	Muscle like fibroblasts	FXYD6
VCL	0.000225586934944342	0.28474196683823	0.573	0.381	1	Muscle like fibroblasts	VCL
ARHGDIB	0.000230347743894053	0.251180632942791	0.742	0.485	1	Muscle like fibroblasts	ARHGDIB
NID1	0.000321545058269758	0.308060173623445	0.596	0.423	1	Muscle like fibroblasts	NID1
CCND1	0.000324694564392396	0.250631650333106	0.258	0.103	1	Muscle like fibroblasts	CCND1
KRT18	0.000350817963227644	0.314708404846676	0.348	0.175	1	Muscle like fibroblasts	KRT18
HLA-A	0.000477499552713539	0.278477957405957	0.854	0.747	1	Muscle like fibroblasts	HLA-A
ACTN4	0.00051997114967873	0.290681161654069	0.517	0.34	1	Muscle like fibroblasts	ACTN4
TIMP3	0.000533951573081303	0.310605776141262	0.427	0.227	1	Muscle like fibroblasts	TIMP3
LOXL2	0.000559229073850717	0.3090885838143	0.472	0.278	1	Muscle like fibroblasts	LOXL2
NR4A1	0.00191032733537172	0.266735936278805	0.326	0.17	1	Muscle like fibroblasts	NR4A1
EGR1	0.00374271847070565	0.258309479614554	0.494	0.309	1	Muscle like fibroblasts	EGR1
COL14A1	0.00477083425190681	0.27049472024173	0.315	0.186	1	Muscle like fibroblasts	COL14A1
CXCL14	1.48252478422257e-43	1.74004338565829	0.768	0.005	2.6224380908113e-39	Secretory fibroblasts	CXCL14
APOD	2.69619566381296e-34	1.72721295319236	0.754	0.07	4.76930050971874e-30	Secretory fibroblasts	APOD
FBLN1	2.7967909807776e-34	1.2767521506413	0.739	0.056	4.9472435658975e-30	Secretory fibroblasts	FBLN1
PLPP3	4.00429959547055e-33	0.910225547325623	0.71	0.047	7.08320555442786e-29	Secretory fibroblasts	PLPP3
PTGDS	8.83431247917766e-31	1.18547370145159	0.58	0.009	1.56270153444174e-26	Secretory fibroblasts	PTGDS
SERPINF1	4.04080542969819e-30	1.14885001059911	0.841	0.173	7.14778072459313e-26	Secretory fibroblasts	SERPINF1
DCN	6.26811478339039e-30	1.34333430578931	0.928	0.425	1.10876682403393e-25	Secretory fibroblasts	DCN
C3	1.18885726570534e-27	1.00192722324566	0.493	0	2.10296961730618e-23	Secretory fibroblasts	C3
ABI3BP	8.34517511808448e-26	0.623733570961922	0.478	0.005	1.47617802663796e-21	Secretory fibroblasts	ABI3BP
C1S	1.133293863327e-25	1.07298016007347	0.87	0.294	2.00468351483913e-21	Secretory fibroblasts	C1S
SERPING1	2.57920762715248e-25	0.915047434386937	0.928	0.411	4.56236037167002e-21	Secretory fibroblasts	SERPING1
IGFBP5	3.1836635381909e-25	1.27947811652291	0.841	0.224	5.63158243270589e-21	Secretory fibroblasts	IGFBP5
MFAP4	2.0128061038983e-24	1.05661427815892	0.681	0.112	3.5604527171857e-20	Secretory fibroblasts	MFAP4
ISLR	2.63868441215965e-24	0.731827408895945	0.725	0.126	4.66756885666921e-20	Secretory fibroblasts	ISLR
MMP2	1.72195952853086e-23	0.957137333321169	0.841	0.252	3.04597421001825e-19	Secretory fibroblasts	MMP2
LUM	2.81008167326853e-23	1.23428802713229	0.623	0.089	4.97075347184471e-19	Secretory fibroblasts	LUM
TMEM176B	6.99219901793732e-23	0.967731590823421	0.565	0.056	1.23685008428293e-18	Secretory fibroblasts	TMEM176B
IGFBP6	9.80685437927928e-23	1.09603471347438	0.754	0.178	1.73473447115071e-18	Secretory fibroblasts	IGFBP6
C1R	7.85555419958931e-22	0.841812242618863	0.797	0.224	1.38956898236535e-17	Secretory fibroblasts	C1R
S100A6	2.04467634070941e-21	0.838242379438289	0.942	0.692	3.61682797908087e-17	Secretory fibroblasts	S100A6
PDGFRA	3.33562219963926e-21	0.863605614454753	0.71	0.178	5.90038210894189e-17	Secretory fibroblasts	PDGFRA
TMEM176A	5.89717648398733e-21	0.91963994615597	0.609	0.098	1.04315154825252e-16	Secretory fibroblasts	TMEM176A
DPT	5.95782919250012e-21	0.662532854976959	0.377	0	1.05388040586135e-16	Secretory fibroblasts	DPT
PDGFRL	1.09570684451891e-20	0.608431629706213	0.406	0.009	1.9381958372695e-16	Secretory fibroblasts	PDGFRL
CTSK	1.65962863179603e-20	0.790055467230407	0.652	0.131	2.935717086784e-16	Secretory fibroblasts	CTSK
TNXB	2.06984490983882e-20	0.466344260030783	0.406	0.009	3.66134866101389e-16	Secretory fibroblasts	TNXB
HTRA3	2.32626393826951e-20	0.481877983975473	0.42	0.014	4.11492828040494e-16	Secretory fibroblasts	HTRA3
LIMCH1	2.45695809768649e-19	0.431225835477808	0.348	0	4.34611317899764e-15	Secretory fibroblasts	LIMCH1
PI16	2.49393041132123e-19	0.866509937075395	0.348	0	4.41151350458613e-15	Secretory fibroblasts	PI16
RNASE4	2.95199433037213e-19	0.487437521849914	0.493	0.047	5.22178277099525e-15	Secretory fibroblasts	RNASE4
OLFML3	1.04128691721431e-18	0.607125244398354	0.594	0.107	1.84193242786039e-14	Secretory fibroblasts	OLFML3
GPC3	1.12634153895445e-18	0.563396094912061	0.406	0.019	1.99238554825652e-14	Secretory fibroblasts	GPC3
PODN	2.34139605942814e-18	0.52503040554364	0.493	0.056	4.14169548952244e-14	Secretory fibroblasts	PODN
LRRN4CL	2.80427343149155e-18	0.334015659288884	0.348	0.005	4.9604792729654e-14	Secretory fibroblasts	LRRN4CL
CFD	3.53892653899582e-18	1.03737020148329	0.42	0.028	6.26000715482971e-14	Secretory fibroblasts	CFD
BMP4	4.06997476461469e-18	0.641355100966386	0.493	0.061	7.19937836112692e-14	Secretory fibroblasts	BMP4
PRNP	6.39283172103283e-18	0.571357583885256	0.681	0.168	1.1308280031335e-13	Secretory fibroblasts	PRNP
LGALS3	9.47701878231312e-18	0.619883220377574	0.913	0.481	1.67638985240337e-13	Secretory fibroblasts	LGALS3
CYP1B1	1.29864194010772e-17	0.61416166055494	0.406	0.028	2.29716772785655e-13	Secretory fibroblasts	CYP1B1
CLEC3B	4.77554085694483e-17	0.664767714144644	0.478	0.061	8.44745422184971e-13	Secretory fibroblasts	CLEC3B
FGF7	1.88036611564067e-16	0.488807777711811	0.391	0.028	3.32617962195677e-12	Secretory fibroblasts	FGF7
CCL11	3.75161477727775e-16	0.626509028519178	0.29	0	6.63623137952662e-12	Secretory fibroblasts	CCL11
MXRA5	9.697555420653e-16	0.562117812996546	0.565	0.121	1.71540057835931e-11	Secretory fibroblasts	MXRA5
TMEM100	1.88242481406971e-15	0.3965943760111	0.348	0.019	3.32982125360791e-11	Secretory fibroblasts	TMEM100
FXYD1	3.02756332135171e-15	0.550780303457038	0.594	0.145	5.35545675913904e-11	Secretory fibroblasts	FXYD1
EMP2	3.47665886201162e-15	0.49623214030377	0.681	0.201	6.14986186101235e-11	Secretory fibroblasts	EMP2
SOD3	3.9977222491918e-15	0.785807891963854	0.783	0.29	7.07157088659538e-11	Secretory fibroblasts	SOD3
CRABP2	7.26904693791056e-15	0.395047514963355	0.304	0.009	1.285821712847e-10	Secretory fibroblasts	CRABP2
EDNRB	1.03305961098479e-14	0.487237499928889	0.391	0.042	1.827379145871e-10	Secretory fibroblasts	EDNRB
CYB5A	1.42200274950849e-14	0.433917551508674	0.551	0.117	2.51538066360557e-10	Secretory fibroblasts	CYB5A
HSD17B2	2.39497454076718e-14	0.362294194330289	0.275	0.005	4.23647046516307e-10	Secretory fibroblasts	HSD17B2
NDRG1	3.24704495276996e-14	0.373535233446353	0.449	0.065	5.74369781695479e-10	Secretory fibroblasts	NDRG1
TRPA1	3.41086945235449e-14	0.405413609176697	0.29	0.009	6.03348697426986e-10	Secretory fibroblasts	TRPA1
PDPN	4.27114527747716e-14	0.552439391236689	0.333	0.023	7.55522888132936e-10	Secretory fibroblasts	PDPN
EPHX1	5.65956807928482e-14	0.570949025799704	0.725	0.304	1.00112099754469e-09	Secretory fibroblasts	EPHX1
LAPTM4A	1.41684702417364e-13	0.575054378043321	0.855	0.528	2.50626070106076e-09	Secretory fibroblasts	LAPTM4A
CYBRD1	1.55837790601867e-13	0.471687294490396	0.638	0.21	2.75661467795642e-09	Secretory fibroblasts	CYBRD1
ITM2A	1.67711838910179e-13	0.527070871241747	0.42	0.061	2.96665471848216e-09	Secretory fibroblasts	ITM2A
LAMA2	1.80474054790582e-13	0.433952765111334	0.391	0.051	3.19240555519061e-09	Secretory fibroblasts	LAMA2
LRP1	2.38631047900702e-13	0.581167839014063	0.826	0.407	4.22114460631552e-09	Secretory fibroblasts	LRP1
CLMP	2.4445913479507e-13	0.256864275375388	0.275	0.009	4.32423763539e-09	Secretory fibroblasts	CLMP
CYP27A1	3.09807184233645e-13	0.276131779366939	0.29	0.014	5.48017928190895e-09	Secretory fibroblasts	CYP27A1
AHNAK	3.25926039588509e-13	0.611189538570567	0.841	0.439	5.76530571428113e-09	Secretory fibroblasts	AHNAK
LTBP4	3.68566338200249e-13	0.563743920441864	0.841	0.481	6.5195699564242e-09	Secretory fibroblasts	LTBP4
SCPEP1	5.04702233098509e-13	0.400555364595201	0.536	0.126	8.92767780127952e-09	Secretory fibroblasts	SCPEP1
POSTN	7.20891374638093e-13	0.792395059863712	0.522	0.136	1.27518475259732e-08	Secretory fibroblasts	POSTN
SELENOP	1.65478043809212e-12	0.633845380595273	0.754	0.336	2.92714111694115e-08	Secretory fibroblasts	SELENOP
GAS7	1.73362401538935e-12	0.271203944738255	0.275	0.014	3.06660752082222e-08	Secretory fibroblasts	GAS7
SEMA4D	2.53953310240757e-12	0.271440051848464	0.319	0.028	4.49218010484876e-08	Secretory fibroblasts	SEMA4D
RARRES2	3.15662658919839e-12	0.727839803534235	0.87	0.463	5.58375677363303e-08	Secretory fibroblasts	RARRES2
PCOLCE	3.19190485451749e-12	0.584833021275922	0.797	0.379	5.64616049715599e-08	Secretory fibroblasts	PCOLCE
SRSF5	6.51071962833603e-12	0.41099396294289	0.681	0.229	1.15168119505636e-07	Secretory fibroblasts	SRSF5
GLUL	6.6146207811005e-12	0.480346837838265	0.652	0.238	1.17006026996887e-07	Secretory fibroblasts	GLUL
GSTM5	6.62276892096155e-12	0.439017462943352	0.406	0.075	1.17150159442889e-07	Secretory fibroblasts	GSTM5
CLU	1.13165455584971e-11	0.367483269884693	0.348	0.042	2.00178374384255e-07	Secretory fibroblasts	CLU
PMP22	1.21935769491617e-11	0.484335872088316	0.783	0.402	2.15692182653721e-07	Secretory fibroblasts	PMP22
TNFSF10	1.27192984839861e-11	0.289467380574912	0.275	0.019	2.24991670883231e-07	Secretory fibroblasts	TNFSF10
C1orf21	1.32648776762276e-11	0.330695761670092	0.449	0.093	2.3464242121479e-07	Secretory fibroblasts	C1orf21
HACD4	1.49580402572533e-11	0.365484677944241	0.377	0.061	2.64592774110554e-07	Secretory fibroblasts	HACD4
SQOR	1.52172677661962e-11	0.298822197869492	0.333	0.037	2.69178249516245e-07	Secretory fibroblasts	SQOR
ECM1	2.17379109217158e-11	0.548338898357827	0.594	0.21	3.8452190629423e-07	Secretory fibroblasts	ECM1
CCDC80	2.97478751699976e-11	0.759493145713795	0.58	0.224	5.26210163882088e-07	Secretory fibroblasts	CCDC80
TGFBI	3.19780518296899e-11	0.510425616691373	0.522	0.145	5.65659758815384e-07	Secretory fibroblasts	TGFBI
ATRAID	3.24387230873319e-11	0.429774944856608	0.725	0.318	5.73808572691814e-07	Secretory fibroblasts	ATRAID
SOD2	3.39903224731372e-11	0.540352703256349	0.435	0.093	6.01254814227323e-07	Secretory fibroblasts	SOD2
FAM92A	3.60665837127856e-11	0.370792345494493	0.42	0.089	6.37981799295465e-07	Secretory fibroblasts	FAM92A
ZBTB20	3.6481258646974e-11	0.495489834527655	0.725	0.355	6.45316984206323e-07	Secretory fibroblasts	ZBTB20
PLK2	3.7643054045528e-11	0.3516914324192	0.348	0.051	6.65867983011345e-07	Secretory fibroblasts	PLK2
DMKN	4.70335441138347e-11	0.303537447311026	0.261	0.019	8.31976361829621e-07	Secretory fibroblasts	DMKN
GFRA1	4.82171703716971e-11	0.299877495472555	0.275	0.023	8.5291352670495e-07	Secretory fibroblasts	GFRA1
SCN7A	4.93204282022811e-11	0.295920043361388	0.261	0.019	8.72429054470151e-07	Secretory fibroblasts	SCN7A
RUNX1T1	4.96996034724385e-11	0.317363411318012	0.391	0.07	8.79136285823964e-07	Secretory fibroblasts	RUNX1T1
PRELP	5.05808991833967e-11	0.426673346493111	0.377	0.07	8.94725525655105e-07	Secretory fibroblasts	PRELP
ALDH2	5.38572462921278e-11	0.446789865357399	0.449	0.107	9.52680829661449e-07	Secretory fibroblasts	ALDH2
TXNIP	7.05874393333604e-11	0.614157625058618	0.696	0.346	1.24862121436781e-06	Secretory fibroblasts	TXNIP
NBL1	7.3165137883291e-11	0.595985041300593	0.652	0.299	1.29421812401753e-06	Secretory fibroblasts	NBL1
AKR1B1	7.39837548048384e-11	0.34096583020271	0.406	0.075	1.30869863874279e-06	Secretory fibroblasts	AKR1B1
S100A13	1.11695253601875e-10	0.535815367261422	0.71	0.35	1.97577734096358e-06	Secretory fibroblasts	S100A13
ANG	1.30060768049495e-10	0.267293306890525	0.319	0.042	2.30064492602752e-06	Secretory fibroblasts	ANG
JUP	1.39083318680707e-10	0.280646718430483	0.304	0.037	2.46024482414302e-06	Secretory fibroblasts	JUP
C1RL	1.49980115349075e-10	0.298597157045711	0.362	0.061	2.65299826040979e-06	Secretory fibroblasts	C1RL
FBLN5	1.5562611869653e-10	0.455396089480941	0.681	0.248	2.75287041362293e-06	Secretory fibroblasts	FBLN5
FAT4	1.76009835492862e-10	0.268760052562294	0.304	0.037	3.11343798003323e-06	Secretory fibroblasts	FAT4
EMP1	2.5393352785025e-10	0.367574207766518	0.493	0.136	4.49183017414307e-06	Secretory fibroblasts	EMP1
ZCCHC24	3.66936662257181e-10	0.288766759800877	0.391	0.079	6.49074261866727e-06	Secretory fibroblasts	ZCCHC24
VCAN	3.79616834685113e-10	0.531028182497583	0.681	0.262	6.71504218874496e-06	Secretory fibroblasts	VCAN
CPED1	6.96545808201464e-10	0.302057648083897	0.391	0.084	1.23211988012757e-05	Secretory fibroblasts	CPED1
TMED10	8.59910448047772e-10	0.367435508246844	0.696	0.29	1.5210955915517e-05	Secretory fibroblasts	TMED10
MXRA8	1.15297039633257e-09	0.440885575599886	0.696	0.341	2.03948933407269e-05	Secretory fibroblasts	MXRA8
PRDX1	1.2071250335298e-09	0.423337815770502	0.826	0.509	2.13528347181086e-05	Secretory fibroblasts	PRDX1
ABCA8	1.35920060392999e-09	0.539565537798949	0.522	0.206	2.40428994829176e-05	Secretory fibroblasts	ABCA8
CD34	1.38278624197469e-09	0.287792772409892	0.261	0.028	2.44601058342904e-05	Secretory fibroblasts	CD34
TMX4	1.48100196004407e-09	0.303999153120721	0.42	0.103	2.61974436712196e-05	Secretory fibroblasts	TMX4
APCDD1	2.59372559843314e-09	0.291760847414629	0.29	0.042	4.58804121106837e-05	Secretory fibroblasts	APCDD1
WSB1	2.60321936214991e-09	0.40480930142305	0.696	0.322	4.60483472970697e-05	Secretory fibroblasts	WSB1
RPN1	3.09519205411074e-09	0.355122062775841	0.623	0.243	5.47508522451649e-05	Secretory fibroblasts	RPN1
PLPP1	3.67862139844846e-09	0.437432289200269	0.623	0.266	6.50711339171548e-05	Secretory fibroblasts	PLPP1
FIBIN	3.98147844641776e-09	0.347775644293698	0.377	0.084	7.04283722386837e-05	Secretory fibroblasts	FIBIN
GLT8D2	4.10195046275907e-09	0.309899237675475	0.42	0.112	7.25594017357452e-05	Secretory fibroblasts	GLT8D2
MFAP2	4.29371115979307e-09	0.416876946626014	0.362	0.084	7.59514567055797e-05	Secretory fibroblasts	MFAP2
PSAP	4.52624198876474e-09	0.424515531658879	0.841	0.57	8.00646945392596e-05	Secretory fibroblasts	PSAP
TMEM59	5.48724719837663e-09	0.414264496492511	0.739	0.402	9.70639156920842e-05	Secretory fibroblasts	TMEM59
GSN	6.00200773242904e-09	0.651936199918989	0.855	0.57	0.000106169514778937	Secretory fibroblasts	GSN
NR2F1	6.27998115088878e-09	0.377927448744035	0.377	0.093	0.000111086586578072	Secretory fibroblasts	NR2F1
CTSL	6.29400352175406e-09	0.324350440681114	0.551	0.187	0.000111334628296308	Secretory fibroblasts	CTSL
SELENOF	6.95397932613912e-09	0.356829479500747	0.725	0.322	0.000123008940300075	Secretory fibroblasts	SELENOF
TGFBR2	7.46254740843032e-09	0.371589093993069	0.478	0.154	0.000132005001107724	Secretory fibroblasts	TGFBR2
TFPI	8.40344272849385e-09	0.402801797784496	0.768	0.374	0.000148648498424328	Secretory fibroblasts	TFPI
TECR	9.18868249358191e-09	0.300828400734274	0.464	0.136	0.00016253860462897	Secretory fibroblasts	TECR
IGFBP3	9.35280727051472e-09	0.501167640507062	0.391	0.103	0.000165441807808135	Secretory fibroblasts	IGFBP3
FBXO21	1.11395923417375e-08	0.26607441727908	0.377	0.089	0.000197048248932995	Secretory fibroblasts	FBXO21
CD82	1.15227770018921e-08	0.295003572553243	0.348	0.07	0.000203826402386469	Secretory fibroblasts	CD82
RTN4	1.18680446433757e-08	0.381036097319031	0.652	0.313	0.000209933841696674	Secretory fibroblasts	RTN4
ADD3	1.37857563315048e-08	0.356844315250911	0.594	0.229	0.000243856243747988	Secretory fibroblasts	ADD3
PROCR	1.41975285016799e-08	0.325655964135044	0.362	0.079	0.000251140081666216	Secretory fibroblasts	PROCR
GPNMB	1.45335522544487e-08	0.321108811593447	0.29	0.051	0.000257084005828943	Secretory fibroblasts	GPNMB
CSF1	1.57423954031956e-08	0.253808293323943	0.319	0.061	0.000278467232287127	Secretory fibroblasts	CSF1
SFRP1	1.60787575929373e-08	0.402756260882306	0.333	0.07	0.000284417143061468	Secretory fibroblasts	SFRP1
DHRS7	1.63624948259893e-08	0.311280583942577	0.449	0.136	0.000289436170976925	Secretory fibroblasts	DHRS7
CST3	1.69039061872103e-08	0.491064793799941	0.855	0.626	0.000299013196545563	Secretory fibroblasts	CST3
PLTP	1.98940925368349e-08	0.425170653018266	0.493	0.187	0.000351906602884073	Secretory fibroblasts	PLTP
ANXA2	2.12737892055287e-08	0.444081767535399	0.783	0.463	0.000376312057256598	Secretory fibroblasts	ANXA2
CXCL12	2.19771488985824e-08	0.599771632065446	0.449	0.159	0.000388753786867023	Secretory fibroblasts	CXCL12
PRRX1	2.25609816017213e-08	0.371509126148926	0.449	0.136	0.000399081203552847	Secretory fibroblasts	PRRX1
TMBIM4	2.36100021532571e-08	0.334399779711673	0.623	0.257	0.000417637328088964	Secretory fibroblasts	TMBIM4
TMEM35B	2.46666877937638e-08	0.336484924547835	0.478	0.168	0.000436329040383887	Secretory fibroblasts	TMEM35B
ANXA4	2.71169273427938e-08	0.279408735729118	0.391	0.103	0.000479671327766679	Secretory fibroblasts	ANXA4
PLD3	2.97011137609759e-08	0.372772518471065	0.71	0.36	0.000525383001317902	Secretory fibroblasts	PLD3
KLF4	3.17604501406353e-08	0.301172762191562	0.304	0.061	0.000561810602537698	Secretory fibroblasts	KLF4
ALDH1A1	3.17870504520295e-08	0.429186921306848	0.348	0.089	0.00056228113544595	Secretory fibroblasts	ALDH1A1
CSTB	3.56565351502424e-08	0.37953718616178	0.739	0.416	0.000630728450272639	Secretory fibroblasts	CSTB
GSTM2	4.57572348545261e-08	0.268601451491909	0.377	0.098	0.000809399727341711	Secretory fibroblasts	GSTM2
CD63	4.68036540929757e-08	0.399649945173845	0.913	0.626	0.000827909837250647	Secretory fibroblasts	CD63
TIMP31	4.79519596526547e-08	0.472168872183273	0.551	0.206	0.000848222214295809	Secretory fibroblasts	TIMP3
PTCH1	5.06306259209733e-08	0.344296185494943	0.391	0.112	0.000895605141916096	Secretory fibroblasts	PTCH1
CALCOCO2	6.20047912388025e-08	0.336726370235722	0.551	0.224	0.00109680275222318	Secretory fibroblasts	CALCOCO2
F3	6.53888485871112e-08	0.448263003446089	0.319	0.075	0.00115666334265741	Secretory fibroblasts	F3
ASPN	6.75795218459326e-08	0.322354408809648	0.391	0.103	0.0011954141619327	Secretory fibroblasts	ASPN
NSG1	6.98679148230962e-08	0.367783087083958	0.348	0.089	0.00123589354530575	Secretory fibroblasts	NSG1
FGFR1	7.51004557398491e-08	0.289859052255845	0.435	0.136	0.00132845196158219	Secretory fibroblasts	FGFR1
MT-ND4	8.10383294234439e-08	0.273920692172722	1	0.963	0.0014334870091713	Secretory fibroblasts	MT-ND4
HERPUD1	8.85640931630608e-08	0.29247086093906	0.478	0.164	0.00156661024396138	Secretory fibroblasts	HERPUD1
ARL6IP5	9.18356484092266e-08	0.374452392948788	0.536	0.229	0.00162448078471081	Secretory fibroblasts	ARL6IP5
PCBD1	9.27999545147392e-08	0.29641315175405	0.464	0.159	0.00164153839541122	Secretory fibroblasts	PCBD1
FBLN2	9.95747417399098e-08	0.367450581644203	0.377	0.107	0.00176137760663726	Secretory fibroblasts	FBLN2
SNRPA	1.17771172161596e-07	0.288816282524868	0.522	0.192	0.00208325426436647	Secretory fibroblasts	SNRPA
SH3D19	1.3422060291425e-07	0.25040693394614	0.377	0.103	0.00237422824495017	Secretory fibroblasts	SH3D19
TMEM119	1.39178717072343e-07	0.291925723755136	0.333	0.084	0.00246193232629267	Secretory fibroblasts	TMEM119
EMP3	1.43160291985968e-07	0.342268309155992	0.797	0.491	0.0025323624049398	Secretory fibroblasts	EMP3
CFH	1.55305976986394e-07	0.465792724947737	0.667	0.379	0.00274720742691233	Secretory fibroblasts	CFH
RND3	1.55750603328889e-07	0.347732774901494	0.464	0.178	0.00275507242228471	Secretory fibroblasts	RND3
LRPAP1	1.9307384962268e-07	0.321595702234032	0.507	0.201	0.00341528332597559	Secretory fibroblasts	LRPAP1
CPNE3	1.94808138671728e-07	0.309542583188075	0.449	0.159	0.00344596116496419	Secretory fibroblasts	CPNE3
TSPAN4	2.1622012269461e-07	0.379525671646214	0.623	0.313	0.00382471775034495	Secretory fibroblasts	TSPAN4
ABCA6	2.23042878524761e-07	0.299498444551738	0.333	0.089	0.0039454054782245	Secretory fibroblasts	ABCA6
DNAJC15	2.41458025893973e-07	0.290705104084446	0.507	0.182	0.00427115102003849	Secretory fibroblasts	DNAJC15
FOXF1	2.42065651357961e-07	0.280572051607626	0.304	0.07	0.00428189930687097	Secretory fibroblasts	FOXF1
SEC62	2.49141895626065e-07	0.328321941278987	0.797	0.505	0.00440707099172946	Secretory fibroblasts	SEC62
CRISPLD2	2.56608147482363e-07	0.315257347500689	0.449	0.145	0.00453914152081551	Secretory fibroblasts	CRISPLD2
CHIC2	2.61606065668979e-07	0.262440008880372	0.406	0.126	0.00462754969561857	Secretory fibroblasts	CHIC2
MT-ND2	3.79875281708326e-07	0.261301909017291	0.971	0.953	0.00671961385813858	Secretory fibroblasts	MT-ND2
TUBB2A	4.33403741366494e-07	0.259429784093958	0.333	0.089	0.0076664787810319	Secretory fibroblasts	TUBB2A
TCF4	4.73550680009969e-07	0.378458127854506	0.812	0.463	0.00837663797869635	Secretory fibroblasts	TCF4
NPDC1	4.7433367535822e-07	0.334729169921244	0.493	0.21	0.00839048838341155	Secretory fibroblasts	NPDC1
SAT1	4.88247393859827e-07	0.355838071671172	0.696	0.481	0.00863660814998648	Secretory fibroblasts	SAT1
EID1	5.41199826154732e-07	0.335395678280586	0.928	0.64	0.00957328372485106	Secretory fibroblasts	EID1
DUT	5.42925855489054e-07	0.315305587793336	0.71	0.374	0.00960381545774588	Secretory fibroblasts	DUT
TAPBP	5.56768538839055e-07	0.267608427472364	0.449	0.154	0.00984867868352404	Secretory fibroblasts	TAPBP
CAST	7.41240304450366e-07	0.303992902443164	0.565	0.252	0.0131117997454225	Secretory fibroblasts	CAST
LMAN2	9.27841953389705e-07	0.28108755444353	0.464	0.178	0.0164125963135105	Secretory fibroblasts	LMAN2
APLP2	1.01123586100772e-06	0.360484132833686	0.609	0.336	0.0178877511453655	Secretory fibroblasts	APLP2
LTBP3	1.02658921665745e-06	0.283775440506482	0.536	0.234	0.0181593366534537	Secretory fibroblasts	LTBP3
HSPA1B	1.11315090908517e-06	0.423241253507733	0.464	0.182	0.0196905264308076	Secretory fibroblasts	HSPA1B
DAB2	1.21358789001327e-06	0.289262675878037	0.449	0.173	0.0214671561864447	Secretory fibroblasts	DAB2
REEP5	1.28097219374715e-06	0.30913077377873	0.623	0.299	0.0226591171351934	Secretory fibroblasts	REEP5
TNFRSF1A	1.41386425303684e-06	0.329264493818092	0.667	0.369	0.0250098447719687	Secretory fibroblasts	TNFRSF1A
WLS	1.43535562523884e-06	0.300504492495004	0.406	0.15	0.0253900056548498	Secretory fibroblasts	WLS
CCNL1	1.50376955378867e-06	0.319998541891342	0.464	0.187	0.0266001796369678	Secretory fibroblasts	CCNL1
EIF5	1.56745570942529e-06	0.301801392316873	0.681	0.336	0.027726724044024	Secretory fibroblasts	EIF5
